code	english_name	vietnamese_name
I781	Nevus, non-neoplastic	Tổn thương mạch máu trên da (Naevus), không tân sinh
I788	Other diseases of capillaries	Bệnh khác của mao mạch
I789	Disease of capillaries, unspecified	Bệnh khác của mao mạch, không đặc hiệu
I790	Aneurysm of aorta in diseases classified elsewhere	Phình động mạch chủ trong bệnh phân loại nơi khác
I791	Aortitis in diseases classified elsewhere	Viêm động mạch chủ trong bệnh phân loại nơi khác
I798	Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere	Rối loạn khác ở động mạch, tiểu động mạch và mao mạch trong bệnh phân loại nơi khác
I803	Phlebitis and thrombophlebitis of lower extremities, unspecified	Viêm tĩnh mạch và viêm tắc tĩnh mạch ở chi dưới, không đặc hiệu
I808	Phlebitis and thrombophlebitis of other sites	Viêm tĩnh mạch và viêm tắc tĩnh mạch ở vị trí khác
I809	Phlebitis and thrombophlebitis of unspecified site	Viêm tĩnh mạch và viêm tắc tĩnh mạch, vị trí không xác định
I820	Budd-Chiari syndrome	Hội chứng Budd- Chiari
I821	Thrombophlebitis migrans	Viêm tắc tĩnh mạch tái phát (migrans)
I823	Embolism and thrombosis of renal vein	Thuyên tắc và huyết khối tĩnh mạch thận
I839	Varicose veins of lower extremities without ulcer or inflammation	Tĩnh mạch giãn ở chi dưới không có loét hoặc viêm
I860	Sublingual varices	Giãn tĩnh mạch dưới lưỡi
I861	Scrotal varices	Túi giãn tĩnh mạch bìu
I862	Pelvic varices	Giãn tĩnh mạch chậu
I863	Vulval varices	Giãn tĩnh mạch âm hộ
I864	Gastric varices	Giãn tĩnh mạch dạ dày
I868	Varicose veins of other specified sites	Giãn tĩnh mạch ở vị trí xác định khác
I871	Compression of vein	Chèn ép tĩnh mạch
I872	Venous insufficiency (chronic) (peripheral)	Suy tĩnh mạch (mạn) (ngoại biên)
I878	Other specified disorders of veins	Rối loạn khác tĩnh mạch xác định khác
I879	Disorder of vein, unspecified	Rối loạn khác tĩnh mạch, không đặc hiệu
I880	Nonspecific mesenteric lymphadenitis	Viêm hạch mạc treo không đặc hiệu
I881	Chronic lymphadenitis, except mesenteric	Viêm hạch bạch huyết mạn, ngoại trừ mạc treo
I888	Other nonspecific lymphadenitis	Viêm hạch bạch huyết mạn, ngoại trừ mạc treo
I889	Nonspecific lymphadenitis, unspecified	Viêm hạch bạch huyết không đặc hiệu, không xác định
I890	Lymphedema, not elsewhere classified	Phù bạch huyết, không phân loại nơi khác
I891	Lymphangitis	Viêm mạch bạch huyết
I898	Other specified noninfective disorders of lymphatic vessels and lymph nodes	Rối loạn mạch bạch huyết và hạch bạch huyết xác định khác không do nhiễm trùng
I899	Noninfective disorder of lymphatic vessels and lymph nodes, unspecified	Rối loạn mạch bạch huyết và hạch bạch huyết không do nhiễm trùng, không đặc hiệu
I950	Idiopathic hypotension	Hạ huyết áp không rõ nguyên nhân
I951	Orthostatic hypotension	Hạ huyết áp thế đứng
I952	Hypotension due to drugs	Hạ huyết áp do thuốc
I953	Hypotension of hemodialysis	Hạ huyết áp sau thẩm phân máu
I959	Hypotension, unspecified	Hạ huyết áp, không đặc hiệu
I970	Postcardiotomy syndrome	Hội chứng sau mổ tim
I972	Postmastectomy lymphedema syndrome	Hội chứng phù mạch bạch huyết sau cắt bỏ tuyến vú
I973	Postprocedural hypertension	Tăng huyết áp sau thủ thuật
I998	Other disorder of circulatory system	Rối loạn khác của hệ tuần hoàn
I999	Unspecified disorder of circulatory system	Rối loạn không xác định của hệ tuần hoàn
J00	Acute nasopharyngitis [common cold]	Viêm mũi họng cấp [cảm thường]
J020	Streptococcal pharyngitis	Viêm họng do liên cầu
J028	Acute pharyngitis due to other specified organisms	Viêm họng cấp do các vi sinh vật xác định khác
J029	Acute pharyngitis, unspecified	Viêm họng cấp, không đặc hiệu
J040	Acute laryngitis	Viêm thanh quản cấp
J042	Acute laryngotracheitis	Viêm thanh khí quản cấp
J050	Acute obstructive laryngitis [croup]	Viêm thanh quản tắc nghẽn cấp [CROUP]
J060	Acute laryngopharyngitis	Viêm họng- thanh quản cấp
J069	Acute upper respiratory infection, unspecified	Nhiễm trùng đường hô hấp trên cấp, không xác định
J101	Influenza due to other identified influenza virus with other respiratory manifestations	Cảm cúm với biểu hiện hô hấp khác, vi rút cúm mùa được định danh khác
J102	Influenza due to other identified influenza virus with gastrointestinal manifestations	Cúm do virus cúm khác được xác định có biểu hiện ở đường tiêu hóa
J111	Influenza due to unidentified influenza virus with other respiratory manifestations	Cúm với các biểu hiện hô hấp khác, vi rút không được định danh
J112	Influenza due to unidentified influenza virus with gastrointestinal manifestations	Cúm do virus cúm chưa xác định có biểu hiện ở đường tiêu hóa
J120	Adenoviral pneumonia	Viêm phổi do vi rút Adeno
J121	Respiratory syncytial virus pneumonia	Viêm phổi do vi rút hợp bào hô hấp
J122	Parainfluenza virus pneumonia	Viêm phổi do vi rút Parainfluenza
J123	Human metapneumovirus pneumonia	Viêm phổi do vi rút Metapneumo người
J129	Viral pneumonia, unspecified	Viêm phổi vi rút, không đặc hiệu
J150	Pneumonia due to Klebsiella pneumoniae	Viêm phổi do Klebsiella pneumoniae
J151	Pneumonia due to Pseudomonas	Viêm phổi do Pseudomonas
J153	Pneumonia due to streptococcus, group B	Viêm phổi do liên cầu, nhóm B
J154	Pneumonia due to other streptococci	Viêm phổi do các liên cầu Streptoccoccus khác
J155	Pneumonia due to Escherichia coli	Viêm phổi do Escherichia coli
J156	Pneumonia due to other Gram-negative bacteria	Viêm phổi do vi khuẩn Gram âm khác
J157	Pneumonia due to Mycoplasma pneumoniae	Viêm phổi do Mycoplasma pneumoniae
J158	Pneumonia due to other specified bacteria	Viêm phổi do vi khuẩn khác
J159	Unspecified bacterial pneumonia	Viêm phổi do vi khuẩn, không đặc hiệu
J160	Chlamydial pneumonia	Viêm phổi do chlamydia
J168	Pneumonia due to other specified infectious organisms	Viêm phổi do tác nhân nhiễm khuẩn khác
J180	Bronchopneumonia, unspecified organism	Viêm phế quản phổi, không đặc hiệu
J181	Lobar pneumonia, unspecified organism	Viêm phổi thuỳ, không đặc hiệu
J182	Hypostatic pneumonia, unspecified organism	Viêm phổi do nằm lâu ngày, không đặc hiệu
J188	Other pneumonia, unspecified organism                                                                                                                                                                                                                           	Viêm phổi khác, không xác định vi sinh vật
J189	Pneumonia, unspecified organism                                                                                                                                                                                                                                 	Viêm phổi, không đặc hiệu
J200	Acute bronchitis due to Mycoplasma pneumoniae	Viêm phế quản cấp do Mycoplasma pneumoniae
J201	Acute bronchitis due to Hemophilus influenzae	Viêm phế quản cấp do Haemophilus lnfluenzae
J202	Acute bronchitis due to streptococcus	Viêm phế quản cấp do streptococcus
J203	Acute bronchitis due to coxsackievirus	Viêm phế quản cấp do vi rút Coxsackie
J204	Acute bronchitis due to parainfluenza virus	Viêm phế quản cấp do vi rút Parainfluenza
J205	Acute bronchitis due to respiratory syncytial virus	Viêm phế quản cấp do vi rút hợp bào hô hấp
J206	Acute bronchitis due to rhinovirus	Viêm phế quản cấp do vi rút Rhino
J207	Acute bronchitis due to echovirus	Viêm phế quản cấp do vi rút Echo
J208	Acute bronchitis due to other specified organisms	Viêm phế quản cấp do vi sinh vật xác định khác
J209	Acute bronchitis, unspecified	Viêm phế quản cấp, không đặc hiệu
J210	Acute bronchiolitis due to respiratory syncytial virus	Viêm tiểu phế quản cấp do vi rút hợp bào hô hấp
J211	Acute bronchiolitis due to human metapneumovirus	Viêm tiểu phế quản cấp tính do vi rút Metapneumo ở người
J218	Acute bronchiolitis due to other specified organisms	Viêm tiểu phế quản cấp tính do vi rút Metapneumo ở người
J219	Acute bronchiolitis, unspecified	Viêm tiểu phế quản cấp, không đặc hiệu
J300	Vasomotor rhinitis	Viêm mũi vận mạch
J301	Allergic rhinitis due to pollen	Viêm mũi dị ứng do phấn hoa
J302	Other seasonal allergic rhinitis	Viêm mũi dị ứng theo mùa khác
J305	Allergic rhinitis due to food	Viêm mũi dị ứng do thức ăn
J309	Allergic rhinitis, unspecified	Viêm mũi dị ứng, không xác định
J310	Chronic rhinitis	Viêm mũi mạn tính
J311	Chronic nasopharyngitis	Viêm mũi họng mạn tính
J312	Chronic pharyngitis	Viêm họng mạn tính
J320	Chronic maxillary sinusitis	Viêm xoang hàm mạn tính
J321	Chronic frontal sinusitis	Viêm xoang hàm mạn tính
J322	Chronic ethmoidal sinusitis	Viêm xoang sàng mạn tính
J323	Chronic sphenoidal sinusitis	Viêm xoang bướm mạn tính
J324	Chronic pansinusitis	Viêm đa xoang mạn tính
J328	Other chronic sinusitis	Viêm mũi xoang mạn tính khác
J329	Chronic sinusitis, unspecified	Viêm mũi xoang mạn tính, không đặc hiệu
J330	Polyp of nasal cavity	Polyp mũi
J331	Polypoid sinus degeneration	Thoái hoá xoang dạng polyp
J338	Other polyp of sinus	Polyp của xoang khác
J339	Nasal polyp, unspecified	Polyp mũi, không phân loại
J340	Abscess, furuncle and carbuncle of nose	Áp xe, nhọt và nhọt tiền đình mũi
J341	Cyst and mucocele of nose and nasal sinus	U nang và u nhày của mũi và xoang mũi
J342	Deviated nasal septum	Lệch vách ngăn mũi
J343	Hypertrophy of nasal turbinates	Phì đại cuốn mũi
J349	Unspecified disorder of nose and nasal sinuses	Rối loạn không xác định của mũi và xoang mũi
J351	Hypertrophy of tonsils	Amidan quá phát
J352	Hypertrophy of adenoids	VA quá phát
J353	Hypertrophy of tonsils with hypertrophy of adenoids	amidan quá phát kèm VA quá phát
J358	Other chronic diseases of tonsils and adenoids	Bệnh mạn tính khác của amidan và VA
J359	Chronic disease of tonsils and adenoids, unspecified	Bệnh mạn tính của Amidan và VA, không đặc hiệu
J370	Chronic laryngitis	Viêm thanh quản mạn tính
J371	Chronic laryngotracheitis	Viêm thanh khí quản mạn
J381	Polyp of vocal cord and larynx	Polyp của dây thanh âm và thanh quản
J382	Nodules of vocal cords	Hạt xơ dây thanh
J383	Other diseases of vocal cords	Các bệnh lý khác của dây thanh âm
J384	Edema of larynx	Phù thanh quản
J385	Laryngeal spasm	Co thắt thanh quản
J386	Stenosis of larynx	Hẹp thanh quản
J387	Other diseases of larynx	Các bệnh lý khác của thanh quản
J390	Retropharyngeal and parapharyngeal abscess	Áp xe thành sau họng và áp xe quanh khoang họng
J391	Other abscess of pharynx	Áp xe khác của họng
J392	Other diseases of pharynx	Bệnh khác của họng
J393	Upper respiratory tract hypersensitivity reaction, site unspecified	Phản ứng quá mẫn đường hô hấp trên, vị trí không xác định
J398	Other specified diseases of upper respiratory tract	Các bệnh lý xác định khác của đường hô hấp trên
J399	Disease of upper respiratory tract, unspecified	Bệnh của đường hô hấp trên, không đặc hiệu
J410	Simple chronic bronchitis	Viêm phế quản mạn tính đơn thuần
J411	Mucopurulent chronic bronchitis	Viêm phế quản mạn tính nhầy mủ
J418	Mixed simple and mucopurulent chronic bronchitis	Viêm phế quản mạn tính hỗn hợp (đơn thuần và nhầy mủ)
J430	'Unilateral pulmonary emphysema [MacLeod''s syndrome]'	Hội chứng MacLeod
J431	Panlobular emphysema	Khí phế thũng toàn tiểu thuỳ
J432	Centrilobular emphysema	Khí phế thũng toàn tiểu thuỳ
J438	Other emphysema	Khí phế thũng khác
J439	Emphysema, unspecified	Khí phế thũng, không đặc hiệu
J440	Chronic obstructive pulmonary disease with (acute) lower respiratory infection	Bệnh phổi tắc nghẽn mạn tính đợt cấp do bội nhiễm
J441	Chronic obstructive pulmonary disease with (acute) exacerbation	Bệnh phổi tắc nghẽn mạn tính đợt cấp, không đặc hiệu
J449	Chronic obstructive pulmonary disease, unspecified	Bệnh phổi tắc nghẽn mạn tính, không xác định
J459	Other and unspecified asthma	Hen suyễn khác và không xác định
J470	Bronchiectasis with acute lower respiratory infection	Giãn phế quản với nhiễm trùng đường hô hấp dưới cấp tính
J471	Bronchiectasis with (acute) exacerbation	Giãn phế quản với đợt cấp (cấp tính)
J479	Bronchiectasis, uncomplicated	Giãn phế quản, không biến chứng
J4A0	Restrictive allograft syndrome	Hội chứng ghép dị loại hạn chế
J4A8	Other chronic lung allograft dysfunction	Rối loạn chức năng ghép dị loại phổi mạn tính khác
J4A9	Chronic lung allograft dysfunction, unspecified	Rối loạn chức năng ghép dị loại phổi mạn tính, không xác định
J620	Pneumoconiosis due to talc dust	Bệnh bụi phổi do bột talc
J628	Pneumoconiosis due to other dust containing silica	Bệnh bụi phổi do bụi khác chứa silic
J630	Aluminosis (of lung)	Nhiễm bụi nhôm (của phổi)
J631	Bauxite fibrosis (of lung)	Xơ hoá do quặng bô- xít (của phổi)
J632	Berylliosis	Bụi phổi do beryllium
J633	Graphite fibrosis (of lung)	Xơ phổi do than chì (của phổi)
J634	Siderosis	Bệnh xơ phổi do sắt
J635	Stannosis	Bệnh xơ phổi do thiếc
J636	Pneumoconiosis due to other specified inorganic dusts	Bệnh bụi phổi do bụi vô cơ được xác định khác
J660	Byssinosis	Bụi phổi bông
J661	'Flax-dressers'' disease'	Bệnh Flax- Dresser
J662	Cannabinosis	Bệnh Flax- Dresser
J668	Airway disease due to other specific organic dusts	Bệnh đường dẫn bụi khí do bụi hữu cơ đặc biệt khác
J670	'Farmer''s lung'	Bệnh phổi của người nông dân
J671	Bagassosis	Bệnh phổi do bã mía
J672	'Bird fancier''s lung'	Bệnh phổi ở người nuôi chim
J673	Suberosis	Bệnh phổi do xơ cây bần
J674	'Maltworker''s lung'	Bệnh phổi của công nhân tiếp xúc với mạch nha bị mốc
J675	'Mushroom-worker''s lung'	Bệnh phổi của công nhân trồng nấm
J676	'Maple-bark-stripper''s lung'	Bệnh phổi của công nhân bóc vỏ cây thích
J677	Air conditioner and humidifier lung	Bệnh phổi do máy làm ẩm và máy điều hoà không khí
J678	Hypersensitivity pneumonitis due to other organic dusts	Viêm phổi tăng cảm do bụi hữu cơ khác
J679	Hypersensitivity pneumonitis due to unspecified organic dust	Viêm phổi tăng cảm do bụi hữu cơ không phân loại
J680	Bronchitis and pneumonitis due to chemicals, gases, fumes and vapors	Viêm phế quản và viêm phổi do hoá chất, chất khí, khói và chất bay hơi
J681	Pulmonary edema due to chemicals, gases, fumes and vapors	Phù phổi do hoá chất, khí, khói và chất bay hơi
J682	Upper respiratory inflammation due to chemicals, gases, fumes and vapors, not elsewhere classified	Viêm đường hô hấp trên do hoá chất, khí, khói và chất bay hơi, không phân loại nơi khác
J683	Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapors	Bệnh hô hấp cấp và bán cấp khác do hoá chất, khí, khói và chất bay hơi
J684	Chronic respiratory conditions due to chemicals, gases, fumes and vapors	Bệnh hô hấp mạn do hoá chât, khí, khói và chất bay hơi
J688	Other respiratory conditions due to chemicals, gases, fumes and vapors	Bệnh hô hấp khác do hoá chất, khí, khói và chất bay hơi
J689	Unspecified respiratory condition due to chemicals, gases, fumes and vapors	Bệnh hô hấp không phân loại do hoá chất, khí, khói và chất bay hơi
J690	Pneumonitis due to inhalation of food and vomit	Viêm phổi hít phải thức ăn và chất nôn
J691	Pneumonitis due to inhalation of oils and essences	Viêm phổi hít phải dầu và hương liệu
J698	Pneumonitis due to inhalation of other solids and liquids	Viêm phổi hít phải chất rắn và chất lỏng khác
J700	Acute pulmonary manifestations due to radiation	Biểu hiện cấp tính ở phổi do phóng xạ
J701	Chronic and other pulmonary manifestations due to radiation	Biểu hiện mạn tính và biểu hiện khác ở phổi do phóng xạ
J702	Acute drug-induced interstitial lung disorders	Bệnh phổi mô kẽ cấp tính do thuốc
J703	Chronic drug-induced interstitial lung disorders	Bệnh phổi mô kẽ mạn tính do thuốc
J704	Drug-induced interstitial lung disorders, unspecified	Bệnh phổi mô kẽ do thuốc, không xác định
J705	Respiratory conditions due to smoke inhalation	Các tình trạng hô hấp do hít phải khói
J708	Respiratory conditions due to other specified external agents	Bệnh lý hô hấp do nguyên nhân ngoại sinh xác định khác
J709	Respiratory conditions due to unspecified external agent	Bệnh lý hô hấp do các nguyên nhân ngoại sinh không xác định
J810	Acute pulmonary edema	Phù phổi cấp
J811	Chronic pulmonary edema	Phù phổi mạn tính
J842	Lymphoid interstitial pneumonia	Viêm phổi kẽ lympho
J849	Interstitial pulmonary disease, unspecified	Bệnh phổi mô kẽ, không phân loại
J850	Gangrene and necrosis of lung	Hoại thư và hoại tử ở phổi
J851	Abscess of lung with pneumonia	Áp xe phổi có viêm phổi
J852	Abscess of lung without pneumonia	Áp xe phổi không có viêm phổi
J853	Abscess of mediastinum	Áp xe trung thất
J860	Pyothorax with fistula                                                                                                                                                                                                                                          	Mủ lồng ngực có lỗ rò
J869	Pyothorax without fistula	Mủ lồng ngực không có lỗ rò
J910	Malignant pleural effusion	Tràn dịch màng phổi ác tính
J918	Pleural effusion in other conditions classified elsewhere	Tràn dịch màng phổi trong các tình trạng khác được phân loại ở nơi khác
J920	Pleural plaque with presence of asbestos	Mảng màng phổi do amian
J929	Pleural plaque without asbestos	Mảng màng phổi không do amian
J930	Spontaneous tension pneumothorax	Tràn khí màng phổi áp lực tự phát
J939	Pneumothorax, unspecified	Tràn khí màng phổi, không phân loại
J940	Chylous effusion	Tràn dịch dưỡng chấp
J941	Fibrothorax	Xơ hoá màng phổi
J942	Hemothorax	Tràn máu màng phổi
J948	Other specified pleural conditions	Các bệnh màng phổi xác định khác
J949	Pleural condition, unspecified	Bệnh màng phổi, không đặc hiệu
J951	Acute pulmonary insufficiency following thoracic surgery	Hở van động mạch phổi cấp tính sau phẫu thuật lồng ngực
J952	Acute pulmonary insufficiency following nonthoracic surgery	Hở van động mạch phổi cấp tính sau phẫu thuật ngoài lồng ngực
J953	Chronic pulmonary insufficiency following surgery	Hở van động mạch phổi mạn tính sau phẫu thuật
J954	Chemical pneumonitis due to anesthesia	Hội chứng Mendelson
J955	Postprocedural subglottic stenosis	Hẹp dưới thanh môn sau phẫu thuật
J982	Interstitial emphysema	Giãn phế nang mô kẽ
J983	Compensatory emphysema	Giãn phế nang còn bù
J984	Other disorders of lung	Các bệnh khác của phổi
J985	Diseases of mediastinum, not elsewhere classified	Bệnh của trung thất, không phân loại nơi khác
J986	Disorders of diaphragm	Bệnh của cơ hoành
J988	Other specified respiratory disorders	Bệnh hô hấp xác định khác
J989	Respiratory disorder, unspecified	Bệnh hô hấp, không phân loại
K000	Anodontia	Không có răng
K001	Supernumerary teeth	Răng thừa
K002	Abnormalities of size and form of teeth	Bất thường kích thước và hình dạng răng
K003	Mottled teeth	Răng đốm màu
K004	Disturbances in tooth formation	Rối loạn tạo răng
K005	Hereditary disturbances in tooth structure, not elsewhere classified	Các rối loạn di truyền cấu trúc răng, không phân loại nơi khác
K006	Disturbances in tooth eruption	Rối loạn mọc răng
K007	Teething syndrome	Hội chứng mọc răng
K008	Other disorders of tooth development	Rối loạn khác về phát triển răng
K009	Disorder of tooth development, unspecified	Rối loạn phát triển răng, không đặc hiệu
K010	Embedded teeth	Răng mọc ngầm
K011	Impacted teeth	Răng mọc kẹt
K023	Arrested dental caries	Sâu răng ngừng tiến triển
K027	Dental root caries	Sâu chân răng
K029	Dental caries, unspecified	Sâu răng, không đặc hiệu
K030	Excessive attrition of teeth	Mòn răng- răng quá mức
K031	Abrasion of teeth	Mòn răng cơ học
K032	Erosion of teeth	Mòn răng hoá học
K033	Pathological resorption of teeth	Tiêu răng bệnh lý
K034	Hypercementosis	Quá sản cement răng
K035	Ankylosis of teeth	Dính khớp răng
K036	Deposits [accretions] on teeth	Cao răng
K037	Posteruptive color changes of dental hard tissues	Đổi màu mô cứng sau mọc răng
K039	Disease of hard tissues of teeth, unspecified	Bệnh mô cứng của răng, không đặc hiệu
K040	Pulpitis	Viêm tuỷ răng
K041	Necrosis of pulp	Hoại tử tuỷ răng
K042	Pulp degeneration	Thoái hoá tuỷ răng
K043	Abnormal hard tissue formation in pulp	Tạo mô cứng bất thường trong tuỷ
K044	Acute apical periodontitis of pulpal origin	Viêm quanh chóp cấp tính có nguồn gốc tuỷ răng
K045	Chronic apical periodontitis	Viêm quanh chóp răng mạn tính
K046	Periapical abscess with sinus	Áp xe quanh chóp răng có lỗ rò
K047	Periapical abscess without sinus	Áp xe quanh chóp không có lỗ rò
K048	Radicular cyst	Nang chân răng
K054	Periodontosis	Thoái hoá quanh răng
K055	Other periodontal diseases	Các bệnh vùng quanh răng khác
K056	Periodontal disease, unspecified	Bệnh quanh răng, không đặc hiệu
K060	Gingival recession	Tụt lợi [nướu]
K061	Gingival enlargement	Phì đại lợi
K062	Gingival and edentulous alveolar ridge lesions associated with trauma	Tổn thương lợi [nướu] và sống hàm liên quan tới chấn thương
K063	Horizontal alveolar bone loss	Mất xương ổ răng theo chiều ngang
K068	Other specified disorders of gingiva and edentulous alveolar ridge	Rối loạn đặc hiệu khác của lợi [nướu] và sống hàm
K069	Disorder of gingiva and edentulous alveolar ridge, unspecified	Rối loạn ở lợi [nướu] và sống hàm, không đặc hiệu
K080	Exfoliation of teeth due to systemic causes	Mẻ răng do nguyên nhân hệ thống
K083	Retained dental root	Chân răng còn sót
K088	Other specified disorders of teeth and supporting structures	Bệnh đặc hiệu khác của răng và cấu trúc nâng đỡ
K089	Disorder of teeth and supporting structures, unspecified	Bệnh của răng và cấu trúc nâng đỡ, không đặc hiệu
K090	Developmental odontogenic cysts	Nang nguồn gốc răng
K091	Developmental (nonodontogenic) cysts of oral region	Nang vùng miệng không có nguồn gốc răng
K098	Other cysts of oral region, not elsewhere classified	Nang khác ở vùng miệng, không phân loại nơi khác
K099	Cyst of oral region, unspecified	Nang vùng miệng không đặc hiệu
K110	Atrophy of salivary gland	Teo tuyến nước bọt
K111	Hypertrophy of salivary gland	Phì đại tuyến nước bọt
K113	Abscess of salivary gland	Áp xe tuyến nước bọt
K114	Fistula of salivary gland	Lỗ rò tuyến nước bọt
K115	Sialolithiasis	Sỏi tuyến nước bọt
K116	Mucocele of salivary gland	Nang nhầy tuyến nước bọt
K117	Disturbances of salivary secretion	Rối loạn tiết nước bọt
K118	Other diseases of salivary glands	Bệnh khác của tuyến nước bọt
K119	Disease of salivary gland, unspecified	Bệnh tuyến nước bọt, không đặc hiệu
K120	Recurrent oral aphthae	Loét miệng tái diễn
K121	Other forms of stomatitis	Dạng khác của viêm miệng
K122	Cellulitis and abscess of mouth	Viêm mô tế bào và áp xe của miệng
K130	Diseases of lips	Bệnh của môi
K131	Cheek and lip biting	Đau má và môi
K133	Hairy leukoplakia	Bạch sản dạng tóc
K134	Granuloma and granuloma-like lesions of oral mucosa	U hạt và tổn thương dạng u hạt của niêm mạc miệng
K135	Oral submucous fibrosis	Xơ hoá dưới niêm mạc miệng
K136	Irritative hyperplasia of oral mucosa	Tăng sản do kích thích của niêm mạc miệng
K140	Glossitis	Viêm lưỡi
K141	Geographic tongue	Lưỡi bản đồ
K142	Median rhomboid glossitis	Viêm lưỡi dạng thoi
K143	Hypertrophy of tongue papillae	Phì đại gai lưỡi
K144	Atrophy of tongue papillae	Teo gai lưỡi
K145	Plicated tongue	Lưỡi gấp nếp
K146	Glossodynia	Đau lưỡi
K148	Other diseases of tongue	Bệnh khác của lưỡi
K149	Disease of tongue, unspecified	Bệnh lưỡi, không đặc hiệu
K200	Eosinophilic esophagitis	Viêm thực quản ái toan
K208	Other esophagitis	Viêm thực quản khác
K209	Esophagitis, unspecified	Viêm thực quản, không xác định
K210	Gastro-esophageal reflux disease with esophagitis	Bệnh trào ngược dạ dày- thực quản với viêm thực quản
K219	Gastro-esophageal reflux disease without esophagitis 	Bệnh trào ngược dạ dày- thực quản không có viêm thực quản
K220	Achalasia of cardia	Co thắt tâm vị
K222	Esophageal obstruction	Tắc nghẽn thực quản
K223	Perforation of esophagus	Thủng thực quản
K224	Dyskinesia of esophagus	Rối loạn vận động thực quản
K225	Diverticulum of esophagus, acquired	Túi thừa thực quản, mắc phải
K226	Gastro-esophageal laceration-hemorrhage syndrome	Hội chứng rách- chảy máu thực quản- dạ dày
K228	Other specified diseases of esophagus                                                                                                                                                                                                                           Y	Bệnh đặc hiệu khác của thực quản
K229	Disease of esophagus, unspecified	Bệnh thực quản, không đặc hiệu
K250	Acute gastric ulcer with hemorrhage	Loét dạ dày: Cấp có xuất huyết
K251	Acute gastric ulcer with perforation	Loét dạ dày: Cấp có thủng
K252	Acute gastric ulcer with both hemorrhage and perforation	Loét dạ dày: Cấp, kèm cả xuất huyết và thủng
K253	Acute gastric ulcer without hemorrhage or perforation	Loét dạ dày: Cấp không có xuất huyết hay thủng
K254	Chronic or unspecified gastric ulcer with hemorrhage	Loét dạ dày: Mạn hay không đặc hiệu có xuất huyết
K255	Chronic or unspecified gastric ulcer with perforation	Loét dạ dày: Mạn hay không đặc hiệu có thủng
K256	Chronic or unspecified gastric ulcer with both hemorrhage and perforation	Loét dạ dày: Mạn hay không xác định có xuất huyết và thủng
K257	Chronic gastric ulcer without hemorrhage or perforation	Loét dạ dày: Mạn không có xuất huyết hay thủng
K259	Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation	Loét dạ dày: Không xác định là cấp hay mạn, không xuất huyết hay thủng
K260	Acute duodenal ulcer with hemorrhage	Loét tá tràng: Cấp có xuất huyết
K261	Acute duodenal ulcer with perforation	Loét tá tràng: Cấp có thủng
K262	Acute duodenal ulcer with both hemorrhage and perforation	Loét tá tràng: Cấp, kèm cả xuất huyết và thủng
K263	Acute duodenal ulcer without hemorrhage or perforation	Loét tá tràng: Cấp không có xuất huyết hay thủng
K264	Chronic or unspecified duodenal ulcer with hemorrhage	Loét tá tràng: Mạn hay không đặc hiệu có xuất huyết
K265	Chronic or unspecified duodenal ulcer with perforation	Loét tá tràng: Mạn hay không đặc hiệu có thủng
K266	Chronic or unspecified duodenal ulcer with both hemorrhage and perforation	Loét tá tràng: Mạn hay không xác định có xuất huyết và thủng
K267	Chronic duodenal ulcer without hemorrhage or perforation	 Loét tá tràng: Mạn không có xuất huyết hay thủng
K269	Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation	Loét tá tràng: Không xác định là cấp hay mạn, không xuất huyết hay thủng
K270	Acute peptic ulcer, site unspecified, with hemorrhage	Loét dạ dày- tá tràng, vị trí không xác định: Cấp có xuất huyết
K271	Acute peptic ulcer, site unspecified, with perforation	Loét dạ dày- tá tràng, vị trí không xác định: Cấp có thủng
K272	Acute peptic ulcer, site unspecified, with both hemorrhage and perforation	Loét dạ dày- tá tràng, vị trí không xác định: Cấp, kèm cả xuất huyết và thủng
K273	Acute peptic ulcer, site unspecified, without hemorrhage or perforation	Loét dạ dày- tá tràng, vị trí không xác định: Cấp không có xuất huyết hay thủng
K274	Chronic or unspecified peptic ulcer, site unspecified, with hemorrhage	Loét dạ dày- tá tràng, vị trí không xác định: Mạn hay không xác định có xuất huyết
K275	Chronic or unspecified peptic ulcer, site unspecified, with perforation	Loét dạ dày- tá tràng, vị trí không xác định: Mạn hay không xác định có thủng
K276	Chronic or unspecified peptic ulcer, site unspecified, with both hemorrhage and perforation	Loét dạ dày- tá tràng, vị trí không xác định: Mạn hay không xác định có xuất huyết và thủng
K277	Chronic peptic ulcer, site unspecified, without hemorrhage or perforation	Loét dạ dày- tá tràng, vị trí không xác định: Mạn không có xuất huyết hay thủng
K279	Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation	Loét dạ dày- tá tràng, vị trí không xác định: Không xác định là cấp hay mạn, không xuất huyết hay thủng
K280	Acute gastrojejunal ulcer with hemorrhage	Loét dạ dày- hỗng tràng: Cấp có xuất huyết
K281	Acute gastrojejunal ulcer with perforation	Loét dạ dày- hỗng tràng: Cấp có thủng
K282	Acute gastrojejunal ulcer with both hemorrhage and perforation	Loét dạ dày- hỗng tràng: Cấp, kèm cả xuất huyết và thủng
